Page,Street,Block,Sector,Street Number,Tree No.,Species (raw),Species,Year Planted,Years,Height 1,Height 2,Height 3,Height 4,Diameter 1,Diameter 2,Diameter 3,Diameter 4
1,1st avenue north,1630,NE-4 32,1630,1,no room,no room,,"1981, 1989",,,,,,,,
1,1st avenue north,1630,NE-4 32,1630,2,no room,no room,,"1981, 1989",,,,,,,,
1,1st avenue north,1630,NE-4 32,1630,3,choke cherry,Prunus virginiana,Removed,"1981, 1989",14,,,,7,,,
1,1st avenue north,1630,NE-4 32,1630,4,Colorado spruce,Picea pungens,,"1981, 1989",15,15,,,7,,,
1,1st avenue north,1630,NE-4 32,1630,5,American elm,Ulmus americana,Removed,"1981, 1989",9,,,,4,,,
1,1st avenue north,1630,NE-4 32,1630,6,American elm,Ulmus americana,,"1981, 1989",8,6,,,3,,,
1,1st avenue north,1630,NE-4 32,1630,7,White spruce,Picea glauca,Removed,"1981, 1989",17,20,,,8,,,
2,1st avenue north,1860 - 2230,32,1860,1,Colorado Spruce,Picea pungens,,"1961, 1982",27,30,,,16,25,,
2,1st avenue north,1860 - 2230,32,1860,2,,,,"1961, 1982",,,,,,,,
2,1st avenue north,1860 - 2230,32,1880,1,American Elm,Ulmus americana,,"1961, 1982",29,30,,,30,40,,
2,1st avenue north,1860 - 2230,32,1880,2,American Elm,Ulmus americana,,"1961, 1982",23,20,,,16,20,,
2,1st avenue north,1860 - 2230,32,1880,3,American Elm,Ulmus americana,,"1961, 1982",30,32,,,28,25,,
2,1st avenue north,1860 - 2230,32,1880,4,,,,"1961, 1982",,,,,,,,
2,1st avenue north,1860 - 2230,32,1880,5,Trembling Aspen,Populus tremuloides,,"1961, 1982",30,20,,,28,35,,
2,1st avenue north,1860 - 2230,32,1880,6,,,,"1961, 1982",,,,,,,,
2,1st avenue north,1860 - 2230,32,2036,1,manchurian Elm,Ulmus laciniata,Removed,"1961, 1982",30,,,,8,,,
2,1st avenue north,1860 - 2230,32,2036,2,Lilac,Syringa vulgaris,Removed,"1961, 1982",15,,,,6,,,
2,1st avenue north,1860 - 2230,32,2036,3,,,,"1961, 1982",,,,,,,,
2,1st avenue north,1860 - 2230,32,2036,4,Lilac,Syringa vulgaris,Removed,"1961, 1982",15,,,,5,,,
2,1st avenue north,1860 - 2230,32,2036,5,Trembling Aspen,Populus tremuloides,,"1961, 1982",35,35,,,28,36,,
2,1st avenue north,1860 - 2230,32,2220,1,Lilac,Syringa vulgaris,Removed,"1961, 1982",3,,,,2,,,
2,1st avenue north,1860 - 2230,32,2220,2,Lilac,Syringa vulgaris,Removed,"1961, 1982",3,,,,2,,,
2,1st avenue north,1860 - 2230,32,2220,3,,,,"1961, 1982",,,,,,,,
2,1st avenue north,1860 - 2230,32,2230,1,mountain ash,Sorbus aucuparia,Removed,"1961, 1982",6,,,,2,,,
2,1st avenue north,1860 - 2230,32,2230,2,mountain ash,Sorbus aucuparia,Removed,"1961, 1982",6,,,,2,,,
2,1st avenue north,1860 - 2230,32,2230,3,mountain ash,Sorbus aucuparia,Removed,"1961, 1982",6,,,,2,,,
2,1st avenue north,1860 - 2230,32,2230,4,mountain ash,Sorbus aucuparia,Removed,"1961, 1982",6,,,,2,,,
2,1st avenue north,1860 - 2230,32,2230,5,,,,"1961, 1982",,,,,,,,
2,1st avenue north,1860 - 2230,32,2230,6,,,,"1961, 1982",,,,,,,,
3,1st avenue north,2109-2109,32 Ave,2109,1,,,,1981,,,,,,,,
3,1st avenue north,2109-2109,32 Ave,2109,2,,,,1981,,,,,,,,
3,1st avenue north,2109-2109,32 Ave,2109,3,,,,1981,,,,,,,,
3,1st avenue north,2109-2109,32 Ave,2109,4,ceder,Thuja occidentalis,Removed,1981,7,,,,3,,,
3,1st avenue north,2109-2109,32 Ave,2109,5,,,,1981,,,,,,,,
4,1st ave north,7104 - 7336,21,7104,1,,,,"1984, 1987",,,,,,,,
4,1st ave north,7104 - 7336,21,7104,2,,,,"1984, 1987",,,,,,,,
4,1st ave north,7104 - 7336,21,7104,3,White Spruce,Picea glauca,,"1984, 1987",,2,,,,,,
4,1st ave north,7104 - 7336,21,7104,4,White Spruce,Picea glauca,,"1984, 1987",,2,,,,,,
4,1st ave north,7104 - 7336,21,7108,1,Green Ash,Fraxinus pennsylvanica,,"1984, 1987",,7,,,3,,,
4,1st ave north,7104 - 7336,21,7108,2,,,,"1984, 1987",,,,,,,,
4,1st ave north,7104 - 7336,21,7112,1,Green Ash,Fraxinus pennsylvanica,,"1984, 1987",7,8,,,4,,,
4,1st ave north,7104 - 7336,21,7112,2,,,,"1984, 1987",,,,,,,,
4,1st ave north,7104 - 7336,21,7212,1,,,,"1984, 1987",,,,,,,,
4,1st ave north,7104 - 7336,21,7212,2,Driveway,utility,,"1984, 1987",,,,,,,,
4,1st ave north,7104 - 7336,21,7220,1,,,,"1984, 1987",,,,,,,,
4,1st ave north,7104 - 7336,21,7220,2,Green Ash,Fraxinus pennsylvanica,,"1984, 1987",7,8,,,4,,,
4,1st ave north,7104 - 7336,21,7224,1,Green Ash,Fraxinus pennsylvanica,,"1984, 1987",6,8,,,3,,,
4,1st ave north,7104 - 7336,21,7224,2,Green Ash,Fraxinus pennsylvanica,,"1984, 1987",,5,,,,,,
4,1st ave north,7104 - 7336,21,7304,1,Green Ash,Fraxinus pennsylvanica,,"1984, 1987",4,5,,,3,,,
4,1st ave north,7104 - 7336,21,7304,2,Green Ash,Fraxinus pennsylvanica,may 7/91,"1984, 1987",,10,,,4,,,
4,1st ave north,7104 - 7336,21,7312,1,Colorado Spruce,Picea pungens,,"1984, 1987",,4,,,,,,
4,1st ave north,7104 - 7336,21,7312,2,,,,"1984, 1987",,,,,,,,
4,1st ave north,7104 - 7336,21,7320,1,Green Ash,Fraxinus pennsylvanica,,"1984, 1987",6,6,,,2,,,
4,1st ave north,7104 - 7336,21,7320,2,,,,"1984, 1987",,,,,,,,
4,1st ave north,7104 - 7336,21,7328,1,Green Ash (477),Fraxinus pennslyvanica,,"1984, 1987",6,6,,,2,,,
4,1st ave north,7104 - 7336,21,7328,2,Green Ash,Fraxinus pennsylvanica,,"1984, 1987",7,9,,,4,,,
4,1st ave north,7104 - 7336,21,7336,1,(548),(548),,"1984, 1987",,,,,,,,
4,1st ave north,7104 - 7336,21,7336,2,Green Ash (549),Fraxinus pennslyvanica,,"1984, 1987",7,9,,,4,,,
5,1st ave north.,7311-7411,NW-7 21,7311,1,greenash,Fraxinus pennsylvanica,Spring 84,1987,,,,,,,,
5,1st ave north.,7311-7411,NW-7 21,7319,1,Green Ash,Fraxinus pennsylvanica,fall 85,1987,6,,,,2,,,
5,1st ave north.,7311-7411,NW-7 21,7319,2,greenash,Fraxinus pennsylvanica,Spring 84,1987,6,,,,2,,,
5,1st ave north.,7311-7411,NW-7 21,7327,1,,,,1987,,,,,,,,
5,1st ave north.,7311-7411,NW-7 21,7327,2,greenash,Fraxinus pennsylvanica,Spring 84,1987,,,,,,,,
5,1st ave north.,7311-7411,NW-7 21,7335,1,greenash,Fraxinus pennsylvanica,Spring 84,1987,,,,,,,,
5,1st ave north.,7311-7411,NW-7 21,7335,2,greenash,Fraxinus pennsylvanica,Spring 84,1987,,,,,,,,
5,1st ave north.,7311-7411,NW-7 21,7403,1,greenash,Fraxinus pennsylvanica,Spring 84,1987,,,,,,,,
5,1st ave north.,7311-7411,NW-7 21,7403,2,greenash,Fraxinus pennsylvanica,Spring 84,1987,,,,,,,,
5,1st ave north.,7311-7411,NW-7 21,7411,1,greenash(478),Fraxinus pennslyvanica,fall 85,1987,6,,,,2,,,
5,1st ave north.,7311-7411,NW-7 21,7411,2,greenash,Fraxinus pennsylvanica,Spring 84,1987,,,,,,,,
6,1st avenue north,6623-6931,NW 7,6623,1,driveway,utility,,"1981, 1981, 1987",,,,,,,,
6,1st avenue north,6623-6931,NW 7,6623,2,green ash,Fraxinus pennsylvanica,,"1981, 1981, 1987",7,10,,,3,,,
6,1st avenue north,6623-6931,NW 7,6627,1,,,Driveway,"1981, 1981, 1987",,,,,,,,
6,1st avenue north,6623-6931,NW 7,6627,2,Weeping Birch,Betula pendula 'Youngii',,"1981, 1981, 1987",,19,,,,,,
6,1st avenue north,6623-6931,NW 7,6631,1,green ash,Fraxinus pennsylvanica,,"1981, 1981, 1987",8,11,,,3,,,
6,1st avenue north,6623-6931,NW 7,6631,2,green ash,Fraxinus pennsylvanica,,"1981, 1981, 1987",6,10,,,2,,,
6,1st avenue north,6623-6931,NW 7,6703,1,white spruce,Picea glauca,,"1981, 1981, 1987",10,14,,,4,,,
6,1st avenue north,6623-6931,NW 7,6703,2,white spruce,Picea glauca,,"1981, 1981, 1987",10,16,,,4,,,
6,1st avenue north,6623-6931,NW 7,6707,1,green ash,Fraxinus pennsylvanica,,"1981, 1981, 1987",10,13,,,3,,,
6,1st avenue north,6623-6931,NW 7,6707,2,driveway,utility,,"1981, 1981, 1987",,,,,,,,
6,1st avenue north,6623-6931,NW 7,6711,1,green ash,Fraxinus pennsylvanica,,"1981, 1981, 1987",7,11,,,3,,,
6,1st avenue north,6623-6931,NW 7,6711,2,green ash,Fraxinus pennsylvanica,Fall 92,"1981, 1981, 1987",7,11,13,,3,6,,
6,1st avenue north,6623-6931,NW 7,6715,1,green ash,Fraxinus pennsylvanica,,"1981, 1981, 1987",9,12,,,3,,,
6,1st avenue north,6623-6931,NW 7,6715,2,driveway,utility,,"1981, 1981, 1987",,,,,,,,
6,1st avenue north,6623-6931,NW 7,6719,1,green ash,Fraxinus pennsylvanica,,"1981, 1981, 1987",9,12,,,3,,,
6,1st avenue north,6623-6931,NW 7,6719,2,green ash,Fraxinus pennsylvanica,,"1981, 1981, 1987",9,15,,,3,,,
6,1st avenue north,6623-6931,NW 7,6723,1,driveway,utility,,"1981, 1981, 1987",,,,,,,,
6,1st avenue north,6623-6931,NW 7,6723,2,,,,"1981, 1981, 1987",,,,,,,,
6,1st avenue north,6623-6931,NW 7,6727,1,green ash,Fraxinus pennsylvanica,,"1981, 1981, 1987",7,9,,,3,,,
6,1st avenue north,6623-6931,NW 7,6727,2,driveway,utility,,"1981, 1981, 1987",,,,,,,,
6,1st avenue north,6623-6931,NW 7,6803,1,green ash,Fraxinus pennsylvanica,,"1981, 1981, 1987",11,12,,,4,,,
6,1st avenue north,6623-6931,NW 7,6803,2,driveway,utility,,"1981, 1981, 1987",,,,,,,,
6,1st avenue north,6623-6931,NW 7,6811,1,driveway,utility,,"1981, 1981, 1987",,,,,,,,
6,1st avenue north,6623-6931,NW 7,6811,2,green ash,Fraxinus pennsylvanica,,"1981, 1981, 1987",6,9,,,3,,,
6,1st avenue north,6623-6931,NW 7,6815,1,green ash,Fraxinus pennsylvanica,,"1981, 1981, 1987",9,9,,,3,,,
6,1st avenue north,6623-6931,NW 7,6815,2,driveway,utility,,"1981, 1981, 1987",,,,,,,,
6,1st avenue north,6623-6931,NW 7,6907,1,green ash,Fraxinus pennsylvanica,,"1981, 1981, 1987",7,11,,,3,,,
6,1st avenue north,6623-6931,NW 7,6907,2,driveway,utility,,"1981, 1981, 1987",,,,,,,,
6,1st avenue north,6623-6931,NW 7,6911,1,green ash,Fraxinus pennsylvanica,,"1981, 1981, 1987",8,10,,,3,,,
6,1st avenue north,6623-6931,NW 7,6911,2,mountain ash,Sorbus aucuparia,white spruce,"1981, 1981, 1987",4,2,,,1,,,
6,1st avenue north,6623-6931,NW 7,6915,1,,,,"1981, 1981, 1987",,,,,,,,
6,1st avenue north,6623-6931,NW 7,6915,2,mountain ash,Sorbus aucuparia,,"1981, 1981, 1987",11,15,,,4,,,
6,1st avenue north,6623-6931,NW 7,6919,1,colorado spruce,Picea pungens,,"1981, 1981, 1987",17,22,,,8,,,
6,1st avenue north,6623-6931,NW 7,6919,2,Weeping Birch,Betula pendula 'Youngii',,"1981, 1981, 1987",18,27,,,8,,,
6,1st avenue north,6623-6931,NW 7,6923,1,colorado spruce,Picea pungens,,"1981, 1981, 1987",2,5,,,1,,,
6,1st avenue north,6623-6931,NW 7,6923,2,white Birch,Betula papyrifera,american elm,"1981, 1981, 1987",6,8,,,2,,,
6,1st avenue north,6623-6931,NW 7,6927,1,Colorado spruce,Picea pungens,,"1981, 1981, 1987",16,22,,,11,,,
6,1st avenue north,6623-6931,NW 7,6927,2,Weeping Birch,Betula pendula 'Youngii',,"1981, 1981, 1987",17,26,,,8,,,
6,1st avenue north,6623-6931,NW 7,6931,1,green ash,Fraxinus pennsylvanica,,"1981, 1981, 1987",9,10,,,3,,,
6,1st avenue north,6623-6931,NW 7,6931,2,driveway,utility,,"1981, 1981, 1987",,,,,,,,
7,1st avenue north,6626-7022,NW 7,6626,1,driveway,utility,,"1981, 1987",,,,,,,,
7,1st avenue north,6626-7022,NW 7,6626,2,green ash,Fraxinus pennsylvanica,,"1981, 1987",9,13,,,3,,,
7,1st avenue north,6626-7022,NW 7,6710,1,green ash,Fraxinus pennsylvanica,,"1981, 1987",7,12,,,3,,,
7,1st avenue north,6626-7022,NW 7,6710,2,green ash,Fraxinus pennsylvanica,,"1981, 1987",6,8,,,3,,,
7,1st avenue north,6626-7022,NW 7,6714,1,driveway,utility,,"1981, 1987",,,,,,,,
7,1st avenue north,6626-7022,NW 7,6714,2,green ash,Fraxinus pennsylvanica,,"1981, 1987",10,15,,,4,,,
7,1st avenue north,6626-7022,NW 7,6718,1,driveway mountain ash,error,,"1981, 1987",,6,,,,,,
7,1st avenue north,6626-7022,NW 7,6718,2,choke cherry,Prunus virginiana,,"1981, 1987",,5,,,,,,
7,1st avenue north,6626-7022,NW 7,6806,1,driveway,utility,,"1981, 1987",,,,,,,,
7,1st avenue north,6626-7022,NW 7,6806,2,white Birch,Betula papyrifera,,"1981, 1987",4,10,,,1,,,
7,1st avenue north,6626-7022,NW 7,6810,1,,,,"1981, 1987",,,,,,,,
7,1st avenue north,6626-7022,NW 7,6810,2,white Birch,Betula papyrifera,,"1981, 1987",9,13,,,3,,,
7,1st avenue north,6626-7022,NW 7,6814,1,driveway,utility,,"1981, 1987",,,,,,,,
7,1st avenue north,6626-7022,NW 7,6814,2,green ash,Fraxinus pennsylvanica,,"1981, 1987",8,11,,,3,,,
7,1st avenue north,6626-7022,NW 7,6906,1,green ash,Fraxinus pennsylvanica,,"1981, 1987",7,9,,,3,,,
7,1st avenue north,6626-7022,NW 7,6906,2,driveway,utility,,"1981, 1987",,,,,,,,
7,1st avenue north,6626-7022,NW 7,6910,1,driveway,utility,,"1981, 1987",,,,,,,,
7,1st avenue north,6626-7022,NW 7,6910,2,green ash,Fraxinus pennsylvanica,,"1981, 1987",8,10,,,3,,,
7,1st avenue north,6626-7022,NW 7,6914,1,driveway,utility,,"1981, 1987",,,,,,,,
7,1st avenue north,6626-7022,NW 7,6914,2,green ash,Fraxinus pennsylvanica,,"1981, 1987",10,11,,,4,,,
7,1st avenue north,6626-7022,NW 7,6918,1,,,,"1981, 1987",,,,,,,,
7,1st avenue north,6626-7022,NW 7,6918,2,green ash,Fraxinus pennsylvanica,,"1981, 1987",9,10,,,3,,,
7,1st avenue north,6626-7022,NW 7,6922,1,green ash,Fraxinus pennsylvanica,,"1981, 1987",9,11,,,3,,,
7,1st avenue north,6626-7022,NW 7,6922,2,green ash,Fraxinus pennsylvanica,,"1981, 1987",8,10,,,3,,,
7,1st avenue north,6626-7022,NW 7,6926,1,mountain ash,Sorbus aucuparia,,"1981, 1987",11,16,,,4,,,
7,1st avenue north,6626-7022,NW 7,6926,2,russian almond choke cherry,error,,"1981, 1987",5,8,,,1,,,
7,1st avenue north,6626-7022,NW 7,6930,1,fire hydrant,utility,,"1981, 1987",,,,,,,,
7,1st avenue north,6626-7022,NW 7,6930,2,green ash,Fraxinus pennsylvanica,,"1981, 1987",8,12,,,3,,,
7,1st avenue north,6626-7022,NW 7,7002,1,green ash,Fraxinus pennsylvanica,,"1981, 1987",9,10,,,3,,,
7,1st avenue north,6626-7022,NW 7,7002,2,green ash,Fraxinus pennsylvanica,,"1981, 1987",8,11,,,3,,,
7,1st avenue north,6626-7022,NW 7,7006,1,sidewalk,utility,,"1981, 1987",,,,,,,,
7,1st avenue north,6626-7022,NW 7,7006,2,green ash,Fraxinus pennsylvanica,,"1981, 1987",10,11,,,4,,,
7,1st avenue north,6626-7022,NW 7,7010,1,green ash,Fraxinus pennsylvanica,,"1981, 1987",9,10,,,4,,,
7,1st avenue north,6626-7022,NW 7,7014,1,green ash,Fraxinus pennsylvanica,,"1981, 1987",7,11,,,3,,,
7,1st avenue north,6626-7022,NW 7,7014,2,green ash,Fraxinus pennsylvanica,,"1981, 1987",7,10,,,3,,,
7,1st avenue north,6626-7022,NW 7,7018,1,sidewalk,utility,,"1981, 1987",,,,,,,,
7,1st avenue north,6626-7022,NW 7,7018,2,green ash,Fraxinus pennsylvanica,,"1981, 1987",11,12,,,4,,,
7,1st avenue north,6626-7022,NW 7,7022,1,green ash,Fraxinus pennsylvanica,,"1981, 1987",8,10,,,3,,,
7,1st avenue north,6626-7022,NW 7,7022,2,green ash,Fraxinus pennsylvanica,,"1981, 1987",7,9,,,3,,,
8,1st avenue north,7003-7227,NW-7 21,7003,1,green ash,Fraxinus pennsylvanica,,"1981, 1987",11,13,,,4,,,
8,1st avenue north,7003-7227,NW-7 21,7003,2,driveway,utility,,"1981, 1987",,,,,,,,
8,1st avenue north,7003-7227,NW-7 21,7007,1,,,,"1981, 1987",,,,,,,,
8,1st avenue north,7003-7227,NW-7 21,7007,2,,,,"1981, 1987",,,,,,,,
8,1st avenue north,7003-7227,NW-7 21,7011,1,White Birch,Betula papyrifera,,"1981, 1987",6,13,,,2,,,
8,1st avenue north,7003-7227,NW-7 21,7011,2,White Birch,Betula papyrifera,,"1981, 1987",6,16,,,2,,,
8,1st avenue north,7003-7227,NW-7 21,7015,1,Green Ash,Fraxinus pennsylvanica,fall 85,"1981, 1987",7,7,,,2,,,
8,1st avenue north,7003-7227,NW-7 21,7015,2,Green Ash,Fraxinus pennsylvanica,,"1981, 1987",,6,,,,,,
8,1st avenue north,7003-7227,NW-7 21,7019,1,green ash,Fraxinus pennsylvanica,,"1981, 1987",8,9,,,3,,,
8,1st avenue north,7003-7227,NW-7 21,7019,2,green ash,Fraxinus pennsylvanica,,"1981, 1987",7,9,,,3,,,
8,1st avenue north,7003-7227,NW-7 21,7023,1,russian olive,Elaeagnus angustifolia,,"1981, 1987",9,13,,,3,,,
8,1st avenue north,7003-7227,NW-7 21,7023,2,green Ash,Fraxinus pennsylvanica,May 7/91,"1981, 1987",,12,,,4,,,
8,1st avenue north,7003-7227,NW-7 21,7107,1,colorado spruce,Picea pungens,,"1981, 1987",,2,,,,,,
8,1st avenue north,7003-7227,NW-7 21,7107,2,colorado spruce,Picea pungens,removed,"1981, 1987",,1,,,,,,
8,1st avenue north,7003-7227,NW-7 21,7111,1,greenash,Fraxinus pennsylvanica,Spring 84,"1981, 1987",,0,,,,,,
8,1st avenue north,7003-7227,NW-7 21,7111,2,,,,"1981, 1987",,,,,,,,
8,1st avenue north,7003-7227,NW-7 21,7115,1,greenash dead,status error,Spring 84,"1981, 1987",,0,,,,,,
8,1st avenue north,7003-7227,NW-7 21,7115,2,greenash dead,status error,Spring 84,"1981, 1987",,0,,,,,,
8,1st avenue north,7003-7227,NW-7 21,7119,1,,,,"1981, 1987",,,,,,,,
8,1st avenue north,7003-7227,NW-7 21,7119,2,white spruce,Picea glauca,,"1981, 1987",,5,,,,,,
8,1st avenue north,7003-7227,NW-7 21,7123,1,driveway,utility,,"1981, 1987",,,,,,,,
8,1st avenue north,7003-7227,NW-7 21,7123,2,greenash,Fraxinus pennsylvanica,Spring 84,"1981, 1987",,11,,,,,,
8,1st avenue north,7003-7227,NW-7 21,7203,1,greenash Removed,status error,Spring 84,"1981, 1987",,0,,,,,,
8,1st avenue north,7003-7227,NW-7 21,7203,2,,,,"1981, 1987",,,,,,,,
8,1st avenue north,7003-7227,NW-7 21,7207,1,choke cherry,Prunus virginiana,,"1981, 1987",,6,,,,,,
8,1st avenue north,7003-7227,NW-7 21,7207,2,apple,Malus,,"1981, 1987",,4,,,,,,
8,1st avenue north,7003-7227,NW-7 21,7211,1,,,,"1981, 1987",,,,,,,,
8,1st avenue north,7003-7227,NW-7 21,7211,2,,,,"1981, 1987",,,,,,,,
8,1st avenue north,7003-7227,NW-7 21,7215,1,Green Ash,Fraxinus pennsylvanica,Spring 85,"1981, 1987",6,6,,,2,,,
8,1st avenue north,7003-7227,NW-7 21,7215,2,,,,"1981, 1987",,,,,,,,
8,1st avenue north,7003-7227,NW-7 21,7219,1,greenash,Fraxinus pennsylvanica,Spring 89,"1981, 1987",,9,,,3,,,
8,1st avenue north,7003-7227,NW-7 21,7219,2,greenash,Fraxinus pennsylvanica,Spring 84,"1981, 1987",,8,,,,,,
8,1st avenue north,7003-7227,NW-7 21,7223,1,Mugo Pine,Pinus mugo,,"1981, 1987",,2,,,,,,
8,1st avenue north,7003-7227,NW-7 21,7223,2,Patmore Ash,Fraxinus pennsylvanica 'Patmore',June 91,"1981, 1987",,7,,,2,,,
8,1st avenue north,7003-7227,NW-7 21,722?,1,Greenash,Fraxinus pennsylvanica,Spring 84,"1981, 1987",,8,,,,,,
8,1st avenue north,7003-7227,NW-7 21,722?,2,,,,"1981, 1987",,,,,,,,
8,1st avenue north,7003-7227,NW-7 21,722?,3,greenash,Fraxinus pennsylvanica,Oct. 13/93,"1981, 1987",8,8,,,3,,,
8,1st avenue north,7003-7227,NW-7 21,722?,4,greenash,Fraxinus pennsylvanica,Oct. 13/93,"1981, 1987",8,10,,,3,,,
8,1st avenue north,7003-7227,NW-7 21,722?,5,Green Ash,Fraxinus pennsylvanica,Oct. 13/93,"1981, 1987",,,,,,,,
9,1st avenue north,6006-6326,NW 20,6006,1,green ash,Fraxinus pennsylvanica,,"1981, 1987",11,14,,,4,,,
9,1st avenue north,6006-6326,NW 20,6006,2,green ash,Fraxinus pennsylvanica,,"1981, 1987",11,13,,,4,,,
9,1st avenue north,6006-6326,NW 20,6006,3,green ash,Fraxinus pennsylvanica,1982,"1981, 1987",9,10,,,4,,,
9,1st avenue north,6006-6326,NW 20,6006,4,green ash,Fraxinus pennsylvanica,1982,"1981, 1987",8,14,,,4,,,
9,1st avenue north,6006-6326,NW 20,6006,5,green ash,Fraxinus pennsylvanica,06/08/93,"1981, 1987",11,12,,,4,,,
9,1st avenue north,6006-6326,NW 20,6010,1,green ash,Fraxinus pennsylvanica,,"1981, 1987",14,15,,,6,,,
9,1st avenue north,6006-6326,NW 20,6010,2,green ash,Fraxinus pennsylvanica,,"1981, 1987",10,13,,,4,,,
9,1st avenue north,6006-6326,NW 20,6014,1,green ash,Fraxinus pennsylvanica,,"1981, 1987",13,15,,,5,,,
9,1st avenue north,6006-6326,NW 20,6014,2,green ash,Fraxinus pennsylvanica,,"1981, 1987",9,7,,,4,,,
9,1st avenue north,6006-6326,NW 20,6018,1,green ash,Fraxinus pennsylvanica,Removed,"1981, 1987",17,0,,,7,,,
9,1st avenue north,6006-6326,NW 20,6018,2,green ash,Fraxinus pennsylvanica,,"1981, 1987",11,14,,,4,,,
9,1st avenue north,6006-6326,NW 20,6022,1,driveway,utility,,"1981, 1987",,,,,,,,
9,1st avenue north,6006-6326,NW 20,6022,2,green ash,Fraxinus pennsylvanica,,"1981, 1987",11,13,,,4,,,
9,1st avenue north,6006-6326,NW 20,6102,1,green ash,Fraxinus pennsylvanica,,"1981, 1987",10,10,,,4,,,
9,1st avenue north,6006-6326,NW 20,6102,2,green ash,Fraxinus pennsylvanica,,"1981, 1987",11,15,,,5,,,
9,1st avenue north,6006-6326,NW 20,6106,1,driveway,utility,,"1981, 1987",,,,,,,,
9,1st avenue north,6006-6326,NW 20,6106,2,green ash,Fraxinus pennsylvanica,Dec 90 removed,"1981, 1987",16,18,,,7,,,
9,1st avenue north,6006-6326,NW 20,6110,1,scotch pine Juniper,error,,"1981, 1987",7,2,,,4,,,
9,1st avenue north,6006-6326,NW 20,6110,2,scotch pine Juniper,error,,"1981, 1987",7,2,,,4,,,
9,1st avenue north,6006-6326,NW 20,6114,1,green ash,Fraxinus pennsylvanica,,"1981, 1987",9,10,,,3,,,
9,1st avenue north,6006-6326,NW 20,6114,2,green ash,Fraxinus pennsylvanica,,"1981, 1987",10,11,,,4,,,
9,1st avenue north,6006-6326,NW 20,6206,1,green ash,Fraxinus pennsylvanica,,"1981, 1987",10,13,,,4,,,
9,1st avenue north,6006-6326,NW 20,6206,2,green ash,Fraxinus pennsylvanica,,"1981, 1987",7,10,,,3,,,
9,1st avenue north,6006-6326,NW 20,6210,1,green ash,Fraxinus pennsylvanica,,"1981, 1987",10,10,,,3,,,
9,1st avenue north,6006-6326,NW 20,6210,2,green ash,Fraxinus pennsylvanica,,"1981, 1987",10,13,,,4,,,
9,1st avenue north,6006-6326,NW 20,6214,1,white spruce,Picea glauca,,"1981, 1987",19,21,,,9,,,
9,1st avenue north,6006-6326,NW 20,6214,2,green ash,Fraxinus pennsylvanica,,"1981, 1987",13,16,,,5,,,
9,1st avenue north,6006-6326,NW 20,6218,1,green ash,Fraxinus pennsylvanica,,"1981, 1987",12,15,,,4,,,
9,1st avenue north,6006-6326,NW 20,6218,2,colorado spruce,Picea pungens,,"1981, 1987",3,11,,,1,,,
9,1st avenue north,6006-6326,NW 20,6222,1,green ash,Fraxinus pennsylvanica,,"1981, 1987",12,14,,,4,,,
9,1st avenue north,6006-6326,NW 20,6222,2,green ash,Fraxinus pennsylvanica,,"1981, 1987",11,14,,,4,,,
9,1st avenue north,6006-6326,NW 20,6226,1,green ash,Fraxinus pennsylvanica,,"1981, 1987",10,14,,,4,,,
9,1st avenue north,6006-6326,NW 20,6226,2,green ash,Fraxinus pennsylvanica,,"1981, 1987",10,12,,,4,,,
9,1st avenue north,6006-6326,NW 20,6230,1,green ash manitoba maple,error,,"1981, 1987",8,10,,,3,,,
9,1st avenue north,6006-6326,NW 20,6230,2,green ash manitoba maple,error,,"1981, 1987",10,8,,,3,,,
9,1st avenue north,6006-6326,NW 20,6302,1,green ash,Fraxinus pennsylvanica,,"1981, 1987",9,14,,,3,,,
9,1st avenue north,6006-6326,NW 20,6302,2,green ash,Fraxinus pennsylvanica,,"1981, 1987",10,15,,,4,,,
9,1st avenue north,6006-6326,NW 20,6322,1,green ash,Fraxinus pennsylvanica,,"1981, 1987",14,16,,,6,,,
9,1st avenue north,6006-6326,NW 20,6322,2,green ash,Fraxinus pennsylvanica,,"1981, 1987",10,13,,,4,,,
9,1st avenue north,6006-6326,NW 20,6326,1,weeping Birch,Betula pendula 'Youngii',,"1981, 1987",10,18,,,2,,,
9,1st avenue north,6006-6326,NW 20,6326,2,,,,"1981, 1987",,,,,,,,
10,1st avenue north,6007-6327,20 NW-2,6007,1,green ash,Fraxinus pennsylvanica,,"1981, 1987",12,14,,,5,,,
10,1st avenue north,6007-6327,20 NW-2,6007,2,green ash,Fraxinus pennsylvanica,,"1981, 1987",11,14,,,5,,,
10,1st avenue north,6007-6327,20 NW-2,6011,1,green ash,Fraxinus pennsylvanica,,"1981, 1987",11,14,,,5,,,
10,1st avenue north,6007-6327,20 NW-2,6011,2,green ash,Fraxinus pennsylvanica,,"1981, 1987",12,14,,,5,,,
10,1st avenue north,6007-6327,20 NW-2,6015,1,green ash,Fraxinus pennsylvanica,,"1981, 1987",11,14,,,4,,,
10,1st avenue north,6007-6327,20 NW-2,6015,2,green ash,Fraxinus pennsylvanica,,"1981, 1987",10,15,,,4,,,
10,1st avenue north,6007-6327,20 NW-2,6019,1,green ash,Fraxinus pennsylvanica,,"1981, 1987",13,17,,,5,,,
10,1st avenue north,6007-6327,20 NW-2,6019,2,green ash,Fraxinus pennsylvanica,,"1981, 1987",11,15,,,4,,,
