Page,Street,Block,Sector,Street Number,Tree No.,Species,Year Planted,Height (1961),Height (1967),Height (1971),Height (1972),Height (1977),Diameter (1961),Diameter (1967),Diameter (1971),Diameter (1972),Diameter (1977)
1,1st Avenue North,1630,NE-4 32,1630,1,,,,,,,,,,,,
1,1st Avenue North,1630,NE-4 32,1630,2,,,,,,,,,,,,
1,1st Avenue North,1630,NE-4 32,1630,3,Prunus virginiana,Removed,,,,,,,,,,
1,1st Avenue North,1630,NE-4 32,1630,4,Picea pungens,,,,,,,,,,,
1,1st Avenue North,1630,NE-4 32,1630,5,Ulmus americana,Removed,,,,,,,,,,
1,1st Avenue North,1630,NE-4 32,1630,6,Ulmus americana,,,,,,,,,,,
1,1st Avenue North,1630,NE-4 32,1630,7,Picea glauca,Removed,,,,,,,,,,
2,1st Avenue North,1860 - 2230,32,2036,5,Populus tremuloides,,35,,,,,28,,,,
2,1st Avenue North,1860 - 2230,32,1880,3,Ulmus americana,,30,,,,,28,,,,
2,1st Avenue North,1860 - 2230,32,1880,5,Populus tremuloides,,30,,,,,28,,,,
2,1st Avenue North,1860 - 2230,32,2036,1,Ulmus laciniata,Removed,30,,,,,8,,,,
2,1st Avenue North,1860 - 2230,32,1880,1,Ulmus americana,,29,,,,,30,,,,
2,1st Avenue North,1860 - 2230,32,1860,1,Picea pungens,,27,,,,,16,,,,
2,1st Avenue North,1860 - 2230,32,1880,2,Ulmus americana,,23,,,,,16,,,,
2,1st Avenue North,1860 - 2230,32,2036,2,Syringa vulgaris,Removed,15,,,,,6,,,,
2,1st Avenue North,1860 - 2230,32,2036,4,Syringa vulgaris,Removed,15,,,,,5,,,,
2,1st Avenue North,1860 - 2230,32,2230,1,Sorbus aucuparia,Removed,6,,,,,2,,,,
2,1st Avenue North,1860 - 2230,32,2230,2,Sorbus aucuparia,Removed,6,,,,,2,,,,
2,1st Avenue North,1860 - 2230,32,2230,3,Sorbus aucuparia,Removed,6,,,,,2,,,,
2,1st Avenue North,1860 - 2230,32,2230,4,Sorbus aucuparia,Removed,6,,,,,2,,,,
2,1st Avenue North,1860 - 2230,32,2220,1,Syringa vulgaris,Removed,3,,,,,2,,,,
2,1st Avenue North,1860 - 2230,32,2220,2,Syringa vulgaris,Removed,3,,,,,2,,,,
2,1st Avenue North,1860 - 2230,32,1860,2,,,,,,,,,,,,
2,1st Avenue North,1860 - 2230,32,1880,4,,,,,,,,,,,,
2,1st Avenue North,1860 - 2230,32,1880,6,,,,,,,,,,,,
2,1st Avenue North,1860 - 2230,32,2036,3,,,,,,,,,,,,
2,1st Avenue North,1860 - 2230,32,2220,3,,,,,,,,,,,,
2,1st Avenue North,1860 - 2230,32,2230,5,,,,,,,,,,,,
2,1st Avenue North,1860 - 2230,32,2230,6,,,,,,,,,,,,
3,1st Avenue North,2109-2109,32 Ave,2109,1,,,,,,,,,,,,
3,1st Avenue North,2109-2109,32 Ave,2109,2,,,,,,,,,,,,
3,1st Avenue North,2109-2109,32 Ave,2109,3,,,,,,,,,,,,
3,1st Avenue North,2109-2109,32 Ave,2109,4,Thuja occidentalis,Removed,,,,,,,,,,
3,1st Avenue North,2109-2109,32 Ave,2109,5,,,,,,,,,,,,
4,1st Ave North,7104 - 7336,21,7104,1,,,,,,,,,,,,
4,1st Ave North,7104 - 7336,21,7104,2,,,,,,,,,,,,
4,1st Ave North,7104 - 7336,21,7104,3,Picea glauca,,,,,,,,,,,
4,1st Ave North,7104 - 7336,21,7104,4,Picea glauca,,,,,,,,,,,
4,1st Ave North,7104 - 7336,21,7108,1,Fraxinus pennsylvanica,,,,,,,,,,,
4,1st Ave North,7104 - 7336,21,7108,2,,,,,,,,,,,,
4,1st Ave North,7104 - 7336,21,7112,1,Fraxinus pennsylvanica,,,,,,,,,,,
4,1st Ave North,7104 - 7336,21,7112,2,,,,,,,,,,,,
4,1st Ave North,7104 - 7336,21,7212,1,,,,,,,,,,,,
4,1st Ave North,7104 - 7336,21,7212,2,,,,,,,,,,,,
4,1st Ave North,7104 - 7336,21,7220,1,,,,,,,,,,,,
4,1st Ave North,7104 - 7336,21,7220,2,Fraxinus pennsylvanica,,,,,,,,,,,
4,1st Ave North,7104 - 7336,21,7224,1,Fraxinus pennsylvanica,,,,,,,,,,,
4,1st Ave North,7104 - 7336,21,7224,2,Fraxinus pennsylvanica,,,,,,,,,,,
4,1st Ave North,7104 - 7336,21,7304,1,Fraxinus pennsylvanica,,,,,,,,,,,
4,1st Ave North,7104 - 7336,21,7304,2,Fraxinus pennsylvanica,may 7/91,,,,,,,,,,
4,1st Ave North,7104 - 7336,21,7312,1,Picea pungens,,,,,,,,,,,
4,1st Ave North,7104 - 7336,21,7312,2,,,,,,,,,,,,
4,1st Ave North,7104 - 7336,21,7320,1,Fraxinus pennsylvanica,,,,,,,,,,,
4,1st Ave North,7104 - 7336,21,7320,2,,,,,,,,,,,,
4,1st Ave North,7104 - 7336,21,7328,1,error,,,,,,,,,,,
4,1st Ave North,7104 - 7336,21,7328,2,Fraxinus pennsylvanica,,,,,,,,,,,
4,1st Ave North,7104 - 7336,21,7336,1,error,,,,,,,,,,,
4,1st Ave North,7104 - 7336,21,7336,2,error,,,,,,,,,,,
5,1ST AVE N.,7311-7411,NW-7 21,7311,1,Fraxinus pennsylvanica,Spring 84,,,,,,,,,,
5,1ST AVE N.,7311-7411,NW-7 21,7319,1,Fraxinus pennsylvanica,fall 85,,,,,,,,,,
5,1ST AVE N.,7311-7411,NW-7 21,7319,2,Fraxinus pennsylvanica,Spring 84,,,,,,,,,,
5,1ST AVE N.,7311-7411,NW-7 21,7327,1,,,,,,,,,,,,
5,1ST AVE N.,7311-7411,NW-7 21,7327,2,Fraxinus pennsylvanica,Spring 84,,,,,,,,,,
5,1ST AVE N.,7311-7411,NW-7 21,7335,1,Fraxinus pennsylvanica,Spring 84,,,,,,,,,,
5,1ST AVE N.,7311-7411,NW-7 21,7335,2,Fraxinus pennsylvanica,Spring 84,,,,,,,,,,
5,1ST AVE N.,7311-7411,NW-7 21,7403,1,Fraxinus pennsylvanica,Spring 84,,,,,,,,,,
5,1ST AVE N.,7311-7411,NW-7 21,7403,2,Fraxinus pennsylvanica,Spring 84,,,,,,,,,,
5,1ST AVE N.,7311-7411,NW-7 21,7411,1,error,fall 85,,,,,,,,,,
5,1ST AVE N.,7311-7411,NW-7 21,7411,2,Fraxinus pennsylvanica,Spring 84,,,,,,,,,,
6,1ST AVENUE NORTH,6623-6931,NW 7,6623,1,,,,,,,,,,,,
6,1ST AVENUE NORTH,6623-6931,NW 7,6623,2,Fraxinus pennsylvanica,,,,,,,,,,,
6,1ST AVENUE NORTH,6623-6931,NW 7,6627,1,,Driveway,,,,,,,,,,
6,1ST AVENUE NORTH,6623-6931,NW 7,6627,2,Betula pendula 'Youngii',,,,,,,,,,,
6,1ST AVENUE NORTH,6623-6931,NW 7,6631,1,Fraxinus pennsylvanica,,,,,,,,,,,
6,1ST AVENUE NORTH,6623-6931,NW 7,6631,2,Fraxinus pennsylvanica,,,,,,,,,,,
6,1ST AVENUE NORTH,6623-6931,NW 7,6703,1,Picea glauca,,,,,,,,,,,
6,1ST AVENUE NORTH,6623-6931,NW 7,6703,2,Picea glauca,,,,,,,,,,,
6,1ST AVENUE NORTH,6623-6931,NW 7,6707,1,Fraxinus pennsylvanica,,,,,,,,,,,
6,1ST AVENUE NORTH,6623-6931,NW 7,6707,2,,,,,,,,,,,,
6,1ST AVENUE NORTH,6623-6931,NW 7,6711,1,Fraxinus pennsylvanica,,,,,,,,,,,
6,1ST AVENUE NORTH,6623-6931,NW 7,6711,2,Fraxinus pennsylvanica,Fall 92,,,,,,,,,,
6,1ST AVENUE NORTH,6623-6931,NW 7,6715,1,Fraxinus pennsylvanica,,,,,,,,,,,
6,1ST AVENUE NORTH,6623-6931,NW 7,6715,2,,,,,,,,,,,,
6,1ST AVENUE NORTH,6623-6931,NW 7,6719,1,Fraxinus pennsylvanica,,,,,,,,,,,
6,1ST AVENUE NORTH,6623-6931,NW 7,6719,2,Fraxinus pennsylvanica,,,,,,,,,,,
6,1ST AVENUE NORTH,6623-6931,NW 7,6723,1,,,,,,,,,,,,
6,1ST AVENUE NORTH,6623-6931,NW 7,6723,2,,,,,,,,,,,,
6,1ST AVENUE NORTH,6623-6931,NW 7,6727,1,Fraxinus pennsylvanica,,,,,,,,,,,
6,1ST AVENUE NORTH,6623-6931,NW 7,6727,2,,,,,,,,,,,,
6,1ST AVENUE NORTH,6623-6931,NW 7,6803,1,Fraxinus pennsylvanica,,,,,,,,,,,
6,1ST AVENUE NORTH,6623-6931,NW 7,6803,2,,,,,,,,,,,,
6,1ST AVENUE NORTH,6623-6931,NW 7,6811,1,,,,,,,,,,,,
6,1ST AVENUE NORTH,6623-6931,NW 7,6811,2,Fraxinus pennsylvanica,,,,,,,,,,,
6,1ST AVENUE NORTH,6623-6931,NW 7,6815,1,Fraxinus pennsylvanica,,,,,,,,,,,
6,1ST AVENUE NORTH,6623-6931,NW 7,6815,2,,,,,,,,,,,,
6,1ST AVENUE NORTH,6623-6931,NW 7,6907,1,Fraxinus pennsylvanica,,,,,,,,,,,
6,1ST AVENUE NORTH,6623-6931,NW 7,6907,2,,,,,,,,,,,,
6,1ST AVENUE NORTH,6623-6931,NW 7,6911,1,Fraxinus pennsylvanica,,,,,,,,,,,
6,1ST AVENUE NORTH,6623-6931,NW 7,6911,2,Sorbus aucuparia,white spruce,,,,,,,,,,
6,1ST AVENUE NORTH,6623-6931,NW 7,6915,1,,,,,,,,,,,,
6,1ST AVENUE NORTH,6623-6931,NW 7,6915,2,Sorbus aucuparia,,,,,,,,,,,
6,1ST AVENUE NORTH,6623-6931,NW 7,6919,1,Picea pungens,,,,,,,,,,,
6,1ST AVENUE NORTH,6623-6931,NW 7,6919,2,Betula pendula 'Youngii',,,,,,,,,,,
6,1ST AVENUE NORTH,6623-6931,NW 7,6923,1,Picea pungens,,,,,,,,,,,
6,1ST AVENUE NORTH,6623-6931,NW 7,6923,2,Betula papyrifera,american elm,,,,,,,,,,
6,1ST AVENUE NORTH,6623-6931,NW 7,6927,1,Picea pungens,,,,,,,,,,,
6,1ST AVENUE NORTH,6623-6931,NW 7,6927,2,Betula pendula 'Youngii',,,,,,,,,,,
6,1ST AVENUE NORTH,6623-6931,NW 7,6931,1,Fraxinus pennsylvanica,,,,,,,,,,,
6,1ST AVENUE NORTH,6623-6931,NW 7,6931,2,,,,,,,,,,,,
7,1ST AVENUE NORTH,6626-7022,NW 7,6626,1,,,,,,,,,,,,
7,1ST AVENUE NORTH,6626-7022,NW 7,6626,2,Fraxinus pennsylvanica,,,,,,,,,,,
7,1ST AVENUE NORTH,6626-7022,NW 7,6710,1,Fraxinus pennsylvanica,,,,,,,,,,,
7,1ST AVENUE NORTH,6626-7022,NW 7,6710,2,Fraxinus pennsylvanica,,,,,,,,,,,
7,1ST AVENUE NORTH,6626-7022,NW 7,6714,1,,,,,,,,,,,,
7,1ST AVENUE NORTH,6626-7022,NW 7,6714,2,Fraxinus pennsylvanica,,,,,,,,,,,
7,1ST AVENUE NORTH,6626-7022,NW 7,6718,1,error,,,,,,,,,,,
7,1ST AVENUE NORTH,6626-7022,NW 7,6718,2,Prunus virginiana,,,,,,,,,,,
7,1ST AVENUE NORTH,6626-7022,NW 7,6806,1,,,,,,,,,,,,
7,1ST AVENUE NORTH,6626-7022,NW 7,6806,2,Betula papyrifera,,,,,,,,,,,
7,1ST AVENUE NORTH,6626-7022,NW 7,6810,1,,,,,,,,,,,,
7,1ST AVENUE NORTH,6626-7022,NW 7,6810,2,Betula papyrifera,,,,,,,,,,,
7,1ST AVENUE NORTH,6626-7022,NW 7,6814,1,,,,,,,,,,,,
7,1ST AVENUE NORTH,6626-7022,NW 7,6814,2,Fraxinus pennsylvanica,,,,,,,,,,,
7,1ST AVENUE NORTH,6626-7022,NW 7,6906,1,Fraxinus pennsylvanica,,,,,,,,,,,
7,1ST AVENUE NORTH,6626-7022,NW 7,6906,2,,,,,,,,,,,,
7,1ST AVENUE NORTH,6626-7022,NW 7,6910,1,,,,,,,,,,,,
7,1ST AVENUE NORTH,6626-7022,NW 7,6910,2,Fraxinus pennsylvanica,,,,,,,,,,,
7,1ST AVENUE NORTH,6626-7022,NW 7,6914,1,,,,,,,,,,,,
7,1ST AVENUE NORTH,6626-7022,NW 7,6914,2,Fraxinus pennsylvanica,,,,,,,,,,,
7,1ST AVENUE NORTH,6626-7022,NW 7,6918,1,,,,,,,,,,,,
7,1ST AVENUE NORTH,6626-7022,NW 7,6918,2,Fraxinus pennsylvanica,,,,,,,,,,,
7,1ST AVENUE NORTH,6626-7022,NW 7,6922,1,Fraxinus pennsylvanica,,,,,,,,,,,
7,1ST AVENUE NORTH,6626-7022,NW 7,6922,2,Fraxinus pennsylvanica,,,,,,,,,,,
7,1ST AVENUE NORTH,6626-7022,NW 7,6926,1,Sorbus aucuparia,,,,,,,,,,,
7,1ST AVENUE NORTH,6626-7022,NW 7,6926,2,error,,,,,,,,,,,
7,1ST AVENUE NORTH,6626-7022,NW 7,6930,1,,,,,,,,,,,,
7,1ST AVENUE NORTH,6626-7022,NW 7,6930,2,Fraxinus pennsylvanica,,,,,,,,,,,
7,1ST AVENUE NORTH,6626-7022,NW 7,7002,1,Fraxinus pennsylvanica,,,,,,,,,,,
7,1ST AVENUE NORTH,6626-7022,NW 7,7002,2,Fraxinus pennsylvanica,,,,,,,,,,,
7,1ST AVENUE NORTH,6626-7022,NW 7,7006,1,,,,,,,,,,,,
7,1ST AVENUE NORTH,6626-7022,NW 7,7006,2,Fraxinus pennsylvanica,,,,,,,,,,,
7,1ST AVENUE NORTH,6626-7022,NW 7,7010,1,Fraxinus pennsylvanica,,,,,,,,,,,
7,1ST AVENUE NORTH,6626-7022,NW 7,7014,1,Fraxinus pennsylvanica,,,,,,,,,,,
7,1ST AVENUE NORTH,6626-7022,NW 7,7014,2,Fraxinus pennsylvanica,,,,,,,,,,,
7,1ST AVENUE NORTH,6626-7022,NW 7,7018,1,,,,,,,,,,,,
7,1ST AVENUE NORTH,6626-7022,NW 7,7018,2,Fraxinus pennsylvanica,,,,,,,,,,,
7,1ST AVENUE NORTH,6626-7022,NW 7,7022,1,Fraxinus pennsylvanica,,,,,,,,,,,
7,1ST AVENUE NORTH,6626-7022,NW 7,7022,2,Fraxinus pennsylvanica,,,,,,,,,,,
8,1ST AVENUE NORTH,7003-7227,NW-7 21,7003,1,Fraxinus pennsylvanica,,,,,,,,,,,
8,1ST AVENUE NORTH,7003-7227,NW-7 21,7003,2,,,,,,,,,,,,
8,1ST AVENUE NORTH,7003-7227,NW-7 21,7007,1,,,,,,,,,,,,
8,1ST AVENUE NORTH,7003-7227,NW-7 21,7007,2,,,,,,,,,,,,
8,1ST AVENUE NORTH,7003-7227,NW-7 21,7011,1,Betula papyrifera,,,,,,,,,,,
8,1ST AVENUE NORTH,7003-7227,NW-7 21,7011,2,Betula papyrifera,,,,,,,,,,,
8,1ST AVENUE NORTH,7003-7227,NW-7 21,7015,1,Fraxinus pennsylvanica,fall 85,,,,,,,,,,
8,1ST AVENUE NORTH,7003-7227,NW-7 21,7015,2,Fraxinus pennsylvanica,,,,,,,,,,,
8,1ST AVENUE NORTH,7003-7227,NW-7 21,7019,1,Fraxinus pennsylvanica,,,,,,,,,,,
8,1ST AVENUE NORTH,7003-7227,NW-7 21,7019,2,Fraxinus pennsylvanica,,,,,,,,,,,
8,1ST AVENUE NORTH,7003-7227,NW-7 21,7023,1,Elaeagnus angustifolia,,,,,,,,,,,
8,1ST AVENUE NORTH,7003-7227,NW-7 21,7023,2,Fraxinus pennsylvanica,May 7/91,,,,,,,,,,
8,1ST AVENUE NORTH,7003-7227,NW-7 21,7107,1,Picea pungens,,,,,,,,,,,
8,1ST AVENUE NORTH,7003-7227,NW-7 21,7107,2,Picea pungens,removed,,,,,,,,,,
8,1ST AVENUE NORTH,7003-7227,NW-7 21,7111,1,Fraxinus pennsylvanica,Spring 84,,,,,,,,,,
8,1ST AVENUE NORTH,7003-7227,NW-7 21,7111,2,,,,,,,,,,,,
8,1ST AVENUE NORTH,7003-7227,NW-7 21,7115,1,status error,Spring 84,,,,,,,,,,
8,1ST AVENUE NORTH,7003-7227,NW-7 21,7115,2,status error,Spring 84,,,,,,,,,,
8,1ST AVENUE NORTH,7003-7227,NW-7 21,7119,1,,,,,,,,,,,,
8,1ST AVENUE NORTH,7003-7227,NW-7 21,7119,2,Picea glauca,,,,,,,,,,,
8,1ST AVENUE NORTH,7003-7227,NW-7 21,7123,1,,,,,,,,,,,,
8,1ST AVENUE NORTH,7003-7227,NW-7 21,7123,2,Fraxinus pennsylvanica,Spring 84,,,,,,,,,,
8,1ST AVENUE NORTH,7003-7227,NW-7 21,7203,1,status error,Spring 84,,,,,,,,,,
8,1ST AVENUE NORTH,7003-7227,NW-7 21,7203,2,,,,,,,,,,,,
8,1ST AVENUE NORTH,7003-7227,NW-7 21,7207,1,Prunus virginiana,,,,,,,,,,,
8,1ST AVENUE NORTH,7003-7227,NW-7 21,7207,2,Malus,,,,,,,,,,,
8,1ST AVENUE NORTH,7003-7227,NW-7 21,7211,1,,,,,,,,,,,,
8,1ST AVENUE NORTH,7003-7227,NW-7 21,7211,2,,,,,,,,,,,,
8,1ST AVENUE NORTH,7003-7227,NW-7 21,7215,1,Fraxinus pennsylvanica,Spring 85,,,,,,,,,,
8,1ST AVENUE NORTH,7003-7227,NW-7 21,7215,2,,,,,,,,,,,,
8,1ST AVENUE NORTH,7003-7227,NW-7 21,7219,1,Fraxinus pennsylvanica,Spring 89,,,,,,,,,,
8,1ST AVENUE NORTH,7003-7227,NW-7 21,7219,2,Fraxinus pennsylvanica,Spring 84,,,,,,,,,,
8,1ST AVENUE NORTH,7003-7227,NW-7 21,7223,1,Pinus mugo,,,,,,,,,,,
8,1ST AVENUE NORTH,7003-7227,NW-7 21,7223,2,Fraxinus pennsylvanica 'Patmore',Jun-91,,,,,,,,,,
8,1ST AVENUE NORTH,7003-7227,NW-7 21,722?,1,Fraxinus pennsylvanica,Spring 84,,,,,,,,,,
8,1ST AVENUE NORTH,7003-7227,NW-7 21,722?,2,,,,,,,,,,,,
8,1ST AVENUE NORTH,7003-7227,NW-7 21,722?,3,Fraxinus pennsylvanica,Oct. 13/93,,,,,,,,,,
8,1ST AVENUE NORTH,7003-7227,NW-7 21,722?,4,Fraxinus pennsylvanica,Oct. 13/93,,,,,,,,,,
8,1ST AVENUE NORTH,7003-7227,NW-7 21,722?,5,Fraxinus pennsylvanica,Oct. 13/93,,,,,,,,,,
9,1ST AVENUE NORTH,6006-6326,NW 20,6006,1,Fraxinus pennsylvanica,,,,,,,,,,,
9,1ST AVENUE NORTH,6006-6326,NW 20,6006,2,Fraxinus pennsylvanica,,,,,,,,,,,
9,1ST AVENUE NORTH,6006-6326,NW 20,6006,3,Fraxinus pennsylvanica,1982,,,,,,,,,,
9,1ST AVENUE NORTH,6006-6326,NW 20,6006,4,Fraxinus pennsylvanica,1982,,,,,,,,,,
9,1ST AVENUE NORTH,6006-6326,NW 20,6006,5,Fraxinus pennsylvanica,06/08/93,,,,,,,,,,
9,1ST AVENUE NORTH,6006-6326,NW 20,6010,1,Fraxinus pennsylvanica,,,,,,,,,,,
9,1ST AVENUE NORTH,6006-6326,NW 20,6010,2,Fraxinus pennsylvanica,,,,,,,,,,,
9,1ST AVENUE NORTH,6006-6326,NW 20,6014,1,Fraxinus pennsylvanica,,,,,,,,,,,
9,1ST AVENUE NORTH,6006-6326,NW 20,6014,2,Fraxinus pennsylvanica,,,,,,,,,,,
9,1ST AVENUE NORTH,6006-6326,NW 20,6018,1,Fraxinus pennsylvanica,Removed,,,,,,,,,,
9,1ST AVENUE NORTH,6006-6326,NW 20,6018,2,Fraxinus pennsylvanica,,,,,,,,,,,
9,1ST AVENUE NORTH,6006-6326,NW 20,6022,1,,,,,,,,,,,,
9,1ST AVENUE NORTH,6006-6326,NW 20,6022,2,Fraxinus pennsylvanica,,,,,,,,,,,
9,1ST AVENUE NORTH,6006-6326,NW 20,6102,1,Fraxinus pennsylvanica,,,,,,,,,,,
9,1ST AVENUE NORTH,6006-6326,NW 20,6102,2,Fraxinus pennsylvanica,,,,,,,,,,,
9,1ST AVENUE NORTH,6006-6326,NW 20,6106,1,,,,,,,,,,,,
9,1ST AVENUE NORTH,6006-6326,NW 20,6106,2,Fraxinus pennsylvanica,Dec 90 removed,,,,,,,,,,
9,1ST AVENUE NORTH,6006-6326,NW 20,6110,1,error,,,,,,,,,,,
9,1ST AVENUE NORTH,6006-6326,NW 20,6110,2,error,,,,,,,,,,,
9,1ST AVENUE NORTH,6006-6326,NW 20,6114,1,Fraxinus pennsylvanica,,,,,,,,,,,
9,1ST AVENUE NORTH,6006-6326,NW 20,6114,2,Fraxinus pennsylvanica,,,,,,,,,,,
9,1ST AVENUE NORTH,6006-6326,NW 20,6206,1,Fraxinus pennsylvanica,,,,,,,,,,,
9,1ST AVENUE NORTH,6006-6326,NW 20,6206,2,Fraxinus pennsylvanica,,,,,,,,,,,
9,1ST AVENUE NORTH,6006-6326,NW 20,6210,1,Fraxinus pennsylvanica,,,,,,,,,,,
9,1ST AVENUE NORTH,6006-6326,NW 20,6210,2,Fraxinus pennsylvanica,,,,,,,,,,,
9,1ST AVENUE NORTH,6006-6326,NW 20,6214,1,Picea glauca,,,,,,,,,,,
9,1ST AVENUE NORTH,6006-6326,NW 20,6214,2,Fraxinus pennsylvanica,,,,,,,,,,,
9,1ST AVENUE NORTH,6006-6326,NW 20,6218,1,Fraxinus pennsylvanica,,,,,,,,,,,
9,1ST AVENUE NORTH,6006-6326,NW 20,6218,2,Picea pungens,,,,,,,,,,,
9,1ST AVENUE NORTH,6006-6326,NW 20,6222,1,Fraxinus pennsylvanica,,,,,,,,,,,
9,1ST AVENUE NORTH,6006-6326,NW 20,6222,2,Fraxinus pennsylvanica,,,,,,,,,,,
9,1ST AVENUE NORTH,6006-6326,NW 20,6226,1,Fraxinus pennsylvanica,,,,,,,,,,,
9,1ST AVENUE NORTH,6006-6326,NW 20,6226,2,Fraxinus pennsylvanica,,,,,,,,,,,
9,1ST AVENUE NORTH,6006-6326,NW 20,6230,1,error,,,,,,,,,,,
9,1ST AVENUE NORTH,6006-6326,NW 20,6230,2,error,,,,,,,,,,,
9,1ST AVENUE NORTH,6006-6326,NW 20,6302,1,Fraxinus pennsylvanica,,,,,,,,,,,
9,1ST AVENUE NORTH,6006-6326,NW 20,6302,2,Fraxinus pennsylvanica,,,,,,,,,,,
9,1ST AVENUE NORTH,6006-6326,NW 20,6322,1,Fraxinus pennsylvanica,,,,,,,,,,,
9,1ST AVENUE NORTH,6006-6326,NW 20,6322,2,Fraxinus pennsylvanica,,,,,,,,,,,
9,1ST AVENUE NORTH,6006-6326,NW 20,6326,1,Betula pendula 'Youngii',,,,,,,,,,,
9,1ST AVENUE NORTH,6006-6326,NW 20,6326,2,,,,,,,,,,,,
10,1ST AVENUE NORTH,6007-6327,20 NW-2,6007,1,Fraxinus pennsylvanica,,,,,,,,,,,
10,1ST AVENUE NORTH,6007-6327,20 NW-2,6007,2,Fraxinus pennsylvanica,,,,,,,,,,,
10,1ST AVENUE NORTH,6007-6327,20 NW-2,6011,1,Fraxinus pennsylvanica,,,,,,,,,,,
10,1ST AVENUE NORTH,6007-6327,20 NW-2,6011,2,Fraxinus pennsylvanica,,,,,,,,,,,
10,1ST AVENUE NORTH,6007-6327,20 NW-2,6015,1,Fraxinus pennsylvanica,,,,,,,,,,,
10,1ST AVENUE NORTH,6007-6327,20 NW-2,6015,2,Fraxinus pennsylvanica,,,,,,,,,,,
10,1ST AVENUE NORTH,6007-6327,20 NW-2,6019,1,Fraxinus pennsylvanica,,,,,,,,,,,
10,1ST AVENUE NORTH,6007-6327,20 NW-2,6019,2,Fraxinus pennsylvanica,,,,,,,,,,,
10,1ST AVENUE NORTH,6007-6327,20 NW-2,6107,1,error,,,,,,,,,,,
10,1ST AVENUE NORTH,6007-6327,20 NW-2,6107,2,Cornus,,,,,,,,,,,
10,1ST AVENUE NORTH,6007-6327,20 NW-2,6111,1,Fraxinus pennsylvanica,,,,,,,,,,,
10,1ST AVENUE NORTH,6007-6327,20 NW-2,6111,2,Fraxinus pennsylvanica,,,,,,,,,,,
10,1ST AVENUE NORTH,6007-6327,20 NW-2,6207,1,,,,,,,,,,,,
10,1ST AVENUE NORTH,6007-6327,20 NW-2,6207,2,Betula papyrifera,,,,,,,,,,,
10,1ST AVENUE NORTH,6007-6327,20 NW-2,6211,1,,,,,,,,,,,,
10,1ST AVENUE NORTH,6007-6327,20 NW-2,6211,2,Fraxinus pennsylvanica,,,,,,,,,,,
10,1ST AVENUE NORTH,6007-6327,20 NW-2,6215,1,Picea pungens,,,,,,,,,,,
10,1ST AVENUE NORTH,6007-6327,20 NW-2,6215,2,Fraxinus pennsylvanica,,,,,,,,,,,
10,1ST AVENUE NORTH,6007-6327,20 NW-2,6219,1,Fraxinus pennsylvanica,,,,,,,,,,,
10,1ST AVENUE NORTH,6007-6327,20 NW-2,6219,2,Fraxinus pennsylvanica,,,,,,,,,,,
10,1ST AVENUE NORTH,6007-6327,20 NW-2,6223,1,Picea pungens,,,,,,,,,,,
10,1ST AVENUE NORTH,6007-6327,20 NW-2,6223,2,Fraxinus pennsylvanica,,,,,,,,,,,
10,1ST AVENUE NORTH,6007-6327,20 NW-2,6227,1,Betula pendula 'Youngii',,,,,,,,,,,
10,1ST AVENUE NORTH,6007-6327,20 NW-2,6227,2,Sorbus aucuparia,,,,,,,,,,,
10,1ST AVENUE NORTH,6007-6327,20 NW-2,6231,1,Betula pendula 'Youngii',,,,,,,,,,,
10,1ST AVENUE NORTH,6007-6327,20 NW-2,6231,2,Betula pendula 'Youngii',,,,,,,,,,,
10,1ST AVENUE NORTH,6007-6327,20 NW-2,6303,1,,,,,,,,,,,,
10,1ST AVENUE NORTH,6007-6327,20 NW-2,6303,2,,,,,,,,,,,,
10,1ST AVENUE NORTH,6007-6327,20 NW-2,6307,1,,,,,,,,,,,,
10,1ST AVENUE NORTH,6007-6327,20 NW-2,6307,2,,,,,,,,,,,,
10,1ST AVENUE NORTH,6007-6327,20 NW-2,6311,1,Fraxinus pennsylvanica,,,,,,,,,,,
10,1ST AVENUE NORTH,6007-6327,20 NW-2,6311,2,,,,,,,,,,,,
10,1ST AVENUE NORTH,6007-6327,20 NW-2,6315,1,Fraxinus pennsylvanica,,,,,,,,,,,
10,1ST AVENUE NORTH,6007-6327,20 NW-2,6315,2,Fraxinus pennsylvanica,,,,,,,,,,,
10,1ST AVENUE NORTH,6007-6327,20 NW-2,6319,1,Fraxinus pennsylvanica,,,,,,,,,,,
10,1ST AVENUE NORTH,6007-6327,20 NW-2,6319,2,Fraxinus pennsylvanica,,,,,,,,,,,
10,1ST AVENUE NORTH,6007-6327,20 NW-2,6323,1,Fraxinus pennsylvanica,,,,,,,,,,,
10,1ST AVENUE NORTH,6007-6327,20 NW-2,6323,2,Fraxinus pennsylvanica,,,,,,,,,,,
10,1ST AVENUE NORTH,6007-6327,20 NW-2,6327,1,Picea pungens,,,,,,,,,,,
10,1ST AVENUE NORTH,6007-6327,20 NW-2,6327,2,Salix,,,,,,,,,,,
11,1st Avenue North,6330-6510,NW-8 20,6330,1,Fraxinus pennsylvanica,,,,,,,,,,,
11,1st Avenue North,6330-6510,NW-8 20,6330,2,Fraxinus pennsylvanica,,,,,,,,,,,
11,1st Avenue North,6330-6510,NW-8 20,6334,1,Betula papyrifera,,,,,,,,,,,
11,1st Avenue North,6330-6510,NW-8 20,6334,2,,,,,,,,,,,,
